Timestamp,"User ID from the lambda calculus website
(automatically filled in)","Have you taken this interactive lesson in lambda calculus?
(automatically filled in)",How well do you know lambda calculus?,"What does the following expression reduce to after one beta reduction (with renaming if needed)?
(λx. x (λx. y x)) z","How many redexes are in the following expression:
( λx.λz. ( λz.y ) x ) ( w ( λw.y ) λx.w )","What is the parameter in the following expression:
(λa.b)c","Does the following expression need to have a variable(s) renamed before it can be reduced:
(λy.λv.λw.v y) λv.v y",Do you have any general comments or feedback that you wish to share?
3/26/2026 14:21:17,b43b391a,No,I have heard of lambda calculus,z (λx. y x),2,c,No,
4/2/2026 14:04:40,b43b391a,No,I know it very well,z (λx. y x),2,a,No,
4/8/2026 11:32:27,nolan,No,I know it very well,z (λx. y x),0,b,Yes,
4/8/2026 13:21:53,b43b3954,No,I have limited familiarity with lambda calculus,z (λx. y x),2,c,Yes,
4/8/2026 13:21:53,b43b3956,No,I am familiar with lambda calculus,x (λx. y x),3,b,Yes,
4/8/2026 13:26:01,b43b3963,No,I am familiar with lambda calculus,z (λx. y x),1,c,No,
4/8/2026 13:28:02,b43b3965,No,I have limited familiarity with lambda calculus,z (λx. y x),1,b,Yes,
4/8/2026 13:28:06,b43b3970,No,I do not know what lambda calculus is,z (λx. y x),2,b,Yes,no
4/8/2026 13:28:57,b43b3961,No,I am familiar with lambda calculus,z (λx. y x),2,c,No,n/a
4/8/2026 13:30:44,b43b3971,No,I am familiar with lambda calculus,z (λx. y x),3,c,Yes,
4/8/2026 13:31:49,b43b396a,No,I know it very well,z (λx. y x),2,c,No,More question and more examples will help me nail down the concept
4/8/2026 13:40:44,b43b3977,No,I am familiar with lambda calculus,z (λx. y x),1,b,Yes,
4/8/2026 13:43:57,b43b3979,No,I have limited familiarity with lambda calculus,z (λx. y x),0,a,Yes,
4/8/2026 13:49:39,b43b397c,No,I have limited familiarity with lambda calculus,z (λx. y x),3,c,Yes,N/A
4/8/2026 13:49:44,b43b397b,No,I am familiar with lambda calculus,z (λx. y x),2,(λa.b),Yes,
4/8/2026 13:56:10,b43b397d,No,I am familiar with lambda calculus,z (λx. y x),1,c,No,
4/8/2026 14:02:46,b43b3963,Yes,I am familiar with lambda calculus,z (λx. y x),2,c,No,
4/8/2026 14:05:32,b43b3975,Yes,I have limited familiarity with lambda calculus,z (λx. y x),3,a,No,"Looks great! I have been going at it for a while and im getting the same questions, a bigger question bank would be nice, or even eee120 has there own helper website for their stuff but they have levels to it that increase difficulty, maybe in some future you can add this? just the increase difficulty would be nice. "
